Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2014,AFG,62.260
Albania,2014,ALB,78.029
Algeria,2014,DZA,74.992
American Samoa,2014,ASM,72.687
Andorra,2014,AND,84.485
Angola,2014,AGO,60.396
Antigua and Barbuda,2014,ATG,76.912
Argentina,2014,ARG,76.268
Armenia,2014,ARM,74.873
Aruba,2014,ABW,75.261
Australia,2014,AUS,82.300
Austria,2014,AUT,81.490
Azerbaijan,2014,AZE,71.930
"Bahamas, The",2014,BHS,74.029
Bahrain,2014,BHR,80.214
Bangladesh,2014,BGD,70.016
Barbados,2014,BRB,75.926
Belarus,2014,BLR,72.971
Belgium,2014,BEL,81.288
Belize,2014,BLZ,71.437
Benin,2014,BEN,59.008
Bermuda,2014,BMU,80.199
Bhutan,2014,BTN,70.504
Bolivia,2014,BOL,66.970
Bosnia and Herzegovina,2014,BIH,77.089
Botswana,2014,BWA,62.167
Brazil,2014,BRA,74.823
British Virgin Islands,2014,VGB,76.527
Brunei Darussalam,2014,BRN,74.862
Bulgaria,2014,BGR,74.466
Burkina Faso,2014,BFA,58.331
Burundi,2014,BDI,59.764
Cabo Verde,2014,CPV,73.788
Cambodia,2014,KHM,69.117
Cameroon,2014,CMR,59.130
Canada,2014,CAN,81.784
Cayman Islands,2014,CYM,77.865
Central African Republic,2014,CAF,40.265
Chad,2014,TCD,51.141
Channel Islands,2014,CHI,81.600
Chile,2014,CHL,79.714
China,2014,CHN,76.714
Colombia,2014,COL,75.950
Comoros,2014,COM,64.143
"Congo, Dem. Rep.",2014,COD,58.236
"Congo, Rep.",2014,COG,63.349
Costa Rica,2014,CRI,80.231
Cote d'Ivoire,2014,CIV,57.772
Croatia,2014,HRV,77.724
Cuba,2014,CUB,77.825
Curacao,2014,CUW,76.384
Cyprus,2014,CYP,81.337
Czechia,2014,CZE,78.824
Denmark,2014,DNK,80.700
Djibouti,2014,DJI,62.427
Dominica,2014,DMA,71.189
Dominican Republic,2014,DOM,73.145
Ecuador,2014,ECU,76.141
"Egypt, Arab Rep.",2014,EGY,69.911
El Salvador,2014,SLV,71.144
Equatorial Guinea,2014,GNQ,60.228
Eritrea,2014,ERI,65.517
Estonia,2014,EST,77.034
Eswatini,2014,SWZ,53.491
Ethiopia,2014,ETH,62.927
Faroe Islands,2014,FRO,81.593
Fiji,2014,FJI,66.581
Finland,2014,FIN,81.180
France,2014,FRA,82.720
French Polynesia,2014,PYF,82.151
Gabon,2014,GAB,66.070
"Gambia, The",2014,GMB,62.576
Georgia,2014,GEO,73.105
Germany,2014,DEU,81.090
Ghana,2014,GHA,62.832
Gibraltar,2014,GIB,82.644
Greece,2014,GRC,81.385
Greenland,2014,GRL,71.061
Grenada,2014,GRD,75.045
Guam,2014,GUM,76.423
Guatemala,2014,GTM,70.942
Guinea,2014,GIN,57.581
Guinea-Bissau,2014,GNB,59.476
Guyana,2014,GUY,67.334
Haiti,2014,HTI,62.969
Honduras,2014,HND,71.032
"Hong Kong SAR, China",2014,HKG,83.936
Hungary,2014,HUN,75.763
Iceland,2014,ISL,82.861
India,2014,IND,68.932
Indonesia,2014,IDN,69.292
"Iran, Islamic Rep.",2014,IRN,75.635
Iraq,2014,IRQ,69.679
Ireland,2014,IRL,81.349
Isle of Man,2014,IMN,80.199
Israel,2014,ISR,82.154
Italy,2014,ITA,83.090
Jamaica,2014,JAM,72.357
Japan,2014,JPN,83.588
Jordan,2014,JOR,74.606
Kazakhstan,2014,KAZ,71.415
Kenya,2014,KEN,61.990
Kiribati,2014,KIR,65.869
"Korea, Dem. People's Rep.",2014,PRK,72.451
"Korea, Rep.",2014,KOR,81.722
Kosovo,2014,XKX,76.179
Kuwait,2014,KWT,79.080
Kyrgyz Republic,2014,KGZ,70.402
Lao PDR,2014,LAO,66.350
Latvia,2014,LVA,74.124
Lebanon,2014,LBN,78.148
Lesotho,2014,LSO,50.786
Liberia,2014,LBR,59.210
Libya,2014,LBY,71.300
Liechtenstein,2014,LIE,82.073
Lithuania,2014,LTU,74.517
Luxembourg,2014,LUX,82.229
"Macao SAR, China",2014,MAC,83.022
Madagascar,2014,MDG,63.261
Malawi,2014,MWI,61.651
Malaysia,2014,MYS,75.345
Maldives,2014,MDV,78.187
Mali,2014,MLI,57.482
Malta,2014,MLT,82.046
Marshall Islands,2014,MHL,65.110
Mauritania,2014,MRT,66.207
Mauritius,2014,MUS,74.194
Mexico,2014,MEX,74.404
"Micronesia, Fed. Sts.",2014,FSM,65.294
Moldova,2014,MDA,70.241
Monaco,2014,MCO,85.093
Mongolia,2014,MNG,70.583
Montenegro,2014,MNE,76.339
Morocco,2014,MAR,72.522
Mozambique,2014,MOZ,57.965
Myanmar,2014,MMR,64.994
Namibia,2014,NAM,59.311
Nauru,2014,NRU,60.834
Nepal,2014,NPL,67.812
Netherlands,2014,NLD,81.707
New Caledonia,2014,NCL,77.053
New Zealand,2014,NZL,81.457
Nicaragua,2014,NIC,72.792
Niger,2014,NER,58.693
Nigeria,2014,NGA,51.940
North Macedonia,2014,MKD,75.451
Northern Mariana Islands,2014,MNP,77.377
Norway,2014,NOR,82.100
Oman,2014,OMN,79.030
Pakistan,2014,PAK,65.374
Palau,2014,PLW,69.062
Panama,2014,PAN,77.365
Papua New Guinea,2014,PNG,64.198
Paraguay,2014,PRY,73.415
Peru,2014,PER,75.260
Philippines,2014,PHL,69.311
Poland,2014,POL,77.602
Portugal,2014,PRT,81.122
Puerto Rico,2014,PRI,80.039
Qatar,2014,QAT,81.395
Romania,2014,ROU,74.910
Russian Federation,2014,RUS,70.744
Rwanda,2014,RWA,65.088
Samoa,2014,WSM,71.142
San Marino,2014,SMR,84.394
Sao Tome and Principe,2014,STP,65.478
Saudi Arabia,2014,SAU,77.116
Senegal,2014,SEN,66.001
Serbia,2014,SRB,75.337
Seychelles,2014,SYC,73.229
Sierra Leone,2014,SLE,54.281
Singapore,2014,SGP,82.495
Sint Maarten (Dutch part),2014,SXM,75.735
Slovak Republic,2014,SVK,76.812
Slovenia,2014,SVN,81.078
Solomon Islands,2014,SLB,68.984
Somalia,2014,SOM,54.442
South Africa,2014,ZAF,63.184
South Sudan,2014,SSD,45.625
Spain,2014,ESP,83.229
Sri Lanka,2014,LKA,75.757
St. Kitts and Nevis,2014,KNA,71.228
St. Lucia,2014,LCA,72.676
St. Martin (French part),2014,MAF,79.727
St. Vincent and the Grenadines,2014,VCT,70.355
Sudan,2014,SDN,63.990
Suriname,2014,SUR,70.330
Sweden,2014,SWE,82.254
Switzerland,2014,CHE,83.198
Syrian Arab Republic,2014,SYR,65.492
Tajikistan,2014,TJK,69.697
Tanzania,2014,TZA,63.364
Thailand,2014,THA,76.279
Timor-Leste,2014,TLS,65.027
Togo,2014,TGO,58.766
Tonga,2014,TON,71.721
Trinidad and Tobago,2014,TTO,72.898
Tunisia,2014,TUN,74.784
Turkiye,2014,TUR,76.452
Turkmenistan,2014,TKM,69.001
Turks and Caicos Islands,2014,TCA,77.212
Tuvalu,2014,TUV,65.278
Uganda,2014,UGA,63.057
Ukraine,2014,UKR,71.803
United Arab Emirates,2014,ARE,81.990
United Kingdom,2014,GBR,81.305
United States,2014,USA,78.841
Uruguay,2014,URY,77.194
Uzbekistan,2014,UZB,70.973
Vanuatu,2014,VUT,70.043
"Venezuela, RB",2014,VEN,72.837
Vietnam,2014,VNM,73.886
Virgin Islands (U.S.),2014,VIR,78.868
West Bank and Gaza,2014,PSE,72.781
"Yemen, Rep.",2014,YEM,68.003
Zambia,2014,ZMB,60.109
Zimbabwe,2014,ZWE,58.106