Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Afghanistan,2022,AFG,
Albania,2022,ALB,35.714
Algeria,2022,DZA,8.108
American Samoa,2022,ASM,
Andorra,2022,AND,46.429
Angola,2022,AGO,33.636
Antigua and Barbuda,2022,ATG,11.111
Argentina,2022,ARG,44.747
Armenia,2022,ARM,35.514
Aruba,2022,ABW,
Australia,2022,AUS,38.411
Austria,2022,AUT,40.984
Azerbaijan,2022,AZE,18.333
"Bahamas, The",2022,BHS,17.949
Bahrain,2022,BHR,20.000
Bangladesh,2022,BGD,20.857
Barbados,2022,BRB,26.667
Belarus,2022,BLR,40.000
Belgium,2022,BEL,42.667
Belize,2022,BLZ,12.500
Benin,2022,BEN,7.407
Bermuda,2022,BMU,
Bhutan,2022,BTN,17.391
Bolivia,2022,BOL,46.154
Bosnia and Herzegovina,2022,BIH,16.667
Botswana,2022,BWA,11.111
Brazil,2022,BRA,17.739
British Virgin Islands,2022,VGB,
Brunei Darussalam,2022,BRN,9.091
Bulgaria,2022,BGR,24.167
Burkina Faso,2022,BFA,16.901
Burundi,2022,BDI,38.211
Cabo Verde,2022,CPV,38.889
Cambodia,2022,KHM,20.800
Cameroon,2022,CMR,33.889
Canada,2022,CAN,30.473
Cayman Islands,2022,CYM,
Central African Republic,2022,CAF,12.857
Chad,2022,TCD,25.888
Channel Islands,2022,CHI,
Chile,2022,CHL,35.484
China,2022,CHN,24.941
Colombia,2022,COL,28.877
Comoros,2022,COM,16.667
"Congo, Dem. Rep.",2022,COD,12.800
"Congo, Rep.",2022,COG,14.570
Costa Rica,2022,CRI,47.368
Cote d'Ivoire,2022,CIV,14.173
Croatia,2022,HRV,31.788
Cuba,2022,CUB,53.413
Curacao,2022,CUW,
Cyprus,2022,CYP,14.286
Czechia,2022,CZE,25.500
Denmark,2022,DNK,43.575
Djibouti,2022,DJI,26.154
Dominica,2022,DMA,34.375
Dominican Republic,2022,DOM,27.895
Ecuador,2022,ECU,38.686
"Egypt, Arab Rep.",2022,EGY,27.580
El Salvador,2022,SLV,27.381
Equatorial Guinea,2022,GNQ,31.000
Eritrea,2022,ERI,
Estonia,2022,EST,25.743
Eswatini,2022,SWZ,13.514
Ethiopia,2022,ETH,41.489
Faroe Islands,2022,FRO,
Fiji,2022,FJI,19.608
Finland,2022,FIN,45.500
France,2022,FRA,37.262
French Polynesia,2022,PYF,
Gabon,2022,GAB,15.385
"Gambia, The",2022,GMB,8.621
Georgia,2022,GEO,19.048
Germany,2022,DEU,34.918
Ghana,2022,GHA,14.545
Gibraltar,2022,GIB,
Greece,2022,GRC,21.000
Greenland,2022,GRL,
Grenada,2022,GRD,31.250
Guam,2022,GUM,
Guatemala,2022,GTM,19.375
Guinea,2022,GIN,29.630
Guinea-Bissau,2022,GNB,13.725
Guyana,2022,GUY,35.385
Haiti,2022,HTI,
Honduras,2022,HND,27.344
"Hong Kong SAR, China",2022,HKG,
Hungary,2022,HUN,14.070
Iceland,2022,ISL,47.619
India,2022,IND,14.945
Indonesia,2022,IDN,21.913
"Iran, Islamic Rep.",2022,IRN,5.594
Iraq,2022,IRQ,28.875
Ireland,2022,IRL,23.125
Isle of Man,2022,IMN,
Israel,2022,ISR,23.333
Italy,2022,ITA,32.250
Jamaica,2022,JAM,28.571
Japan,2022,JPN,9.914
Jordan,2022,JOR,12.308
Kazakhstan,2022,KAZ,27.358
Kenya,2022,KEN,23.429
Kiribati,2022,KIR,6.667
"Korea, Dem. People's Rep.",2022,PRK,17.613
"Korea, Rep.",2022,KOR,18.644
Kosovo,2022,XKX,
Kuwait,2022,KWT,6.250
Kyrgyz Republic,2022,KGZ,20.455
Lao PDR,2022,LAO,21.951
Latvia,2022,LVA,30.000
Lebanon,2022,LBN,6.250
Lesotho,2022,LSO,26.446
Liberia,2022,LBR,10.959
Libya,2022,LBY,16.471
Liechtenstein,2022,LIE,28.000
Lithuania,2022,LTU,28.369
Luxembourg,2022,LUX,33.333
"Macao SAR, China",2022,MAC,
Madagascar,2022,MDG,18.543
Malawi,2022,MWI,22.917
Malaysia,2022,MYS,13.575
Maldives,2022,MDV,4.598
Mali,2022,MLI,28.571
Malta,2022,MLT,27.848
Marshall Islands,2022,MHL,6.061
Mauritania,2022,MRT,20.261
Mauritius,2022,MUS,20.000
Mexico,2022,MEX,50.000
"Micronesia, Fed. Sts.",2022,FSM,7.143
Moldova,2022,MDA,40.594
Monaco,2022,MCO,33.333
Mongolia,2022,MNG,17.105
Montenegro,2022,MNE,27.160
Morocco,2022,MAR,24.051
Mozambique,2022,MOZ,42.400
Myanmar,2022,MMR,
Namibia,2022,NAM,44.231
Nauru,2022,NRU,10.526
Nepal,2022,NPL,33.091
Netherlands,2022,NLD,40.667
New Caledonia,2022,NCL,
New Zealand,2022,NZL,50.420
Nicaragua,2022,NIC,51.648
Niger,2022,NER,25.904
Nigeria,2022,NGA,3.611
North Macedonia,2022,MKD,41.667
Northern Mariana Islands,2022,MNP,
Norway,2022,NOR,44.970
Oman,2022,OMN,2.326
Pakistan,2022,PAK,20.468
Palau,2022,PLW,6.250
Panama,2022,PAN,22.535
Papua New Guinea,2022,PNG,1.739
Paraguay,2022,PRY,17.500
Peru,2022,PER,40.000
Philippines,2022,PHL,27.331
Poland,2022,POL,28.261
Portugal,2022,PRT,36.957
Puerto Rico,2022,PRI,
Qatar,2022,QAT,4.444
Romania,2022,ROU,19.091
Russian Federation,2022,RUS,16.222
Rwanda,2022,RWA,61.250
Samoa,2022,WSM,12.963
San Marino,2022,SMR,33.333
Sao Tome and Principe,2022,STP,14.545
Saudi Arabia,2022,SAU,19.868
Senegal,2022,SEN,44.242
Serbia,2022,SRB,36.555
Seychelles,2022,SYC,22.857
Sierra Leone,2022,SLE,12.329
Singapore,2022,SGP,29.126
Sint Maarten (Dutch part),2022,SXM,
Slovak Republic,2022,SVK,21.333
Slovenia,2022,SVN,40.000
Solomon Islands,2022,SLB,8.000
Somalia,2022,SOM,19.708
South Africa,2022,ZAF,46.500
South Sudan,2022,SSD,32.364
Spain,2022,ESP,42.980
Sri Lanka,2022,LKA,5.333
St. Kitts and Nevis,2022,KNA,31.250
St. Lucia,2022,LCA,11.111
St. Martin (French part),2022,MAF,
St. Vincent and the Grenadines,2022,VCT,18.182
Sudan,2022,SDN,
Suriname,2022,SUR,29.412
Sweden,2022,SWE,46.418
Switzerland,2022,CHE,41.500
Syrian Arab Republic,2022,SYR,11.200
Tajikistan,2022,TJK,26.984
Tanzania,2022,TZA,36.856
Thailand,2022,THA,15.746
Timor-Leste,2022,TLS,40.000
Togo,2022,TGO,18.681
Tonga,2022,TON,3.704
Trinidad and Tobago,2022,TTO,26.190
Tunisia,2022,TUN,26.267
Turkiye,2022,TUR,17.354
Turkmenistan,2022,TKM,25.862
Turks and Caicos Islands,2022,TCA,
Tuvalu,2022,TUV,6.250
Uganda,2022,UGA,33.813
Ukraine,2022,UKR,20.331
United Arab Emirates,2022,ARE,50.000
United Kingdom,2022,GBR,34.568
United States,2022,USA,28.704
Uruguay,2022,URY,25.253
Uzbekistan,2022,UZB,33.333
Vanuatu,2022,VUT,1.923
"Venezuela, RB",2022,VEN,
Vietnam,2022,VNM,30.261
Virgin Islands (U.S.),2022,VIR,
West Bank and Gaza,2022,PSE,
"Yemen, Rep.",2022,YEM,0.000
Zambia,2022,ZMB,15.060
Zimbabwe,2022,ZWE,30.566