tier,predictor,label,coef,se,pval,sig,n,r2,r2_within,n_clusters
T1_2014_with_gdp,secularism_clean_norm,NEW: clean composite (inst+beh),-0.10008747794592505,0.03599827067895489,0.005430179754248911,***,166,0.520507147852457,,
T1_2020_with_gdp,secularism_clean_norm,NEW: clean composite (inst+beh),-0.09728501252817603,0.04064768067672584,0.01669431449022081,**,164,0.462857391832755,,
T1_2014_with_gdp,secularism_clean_inst_norm,NEW: institutional only,-0.045136796583975965,0.03502048803544947,0.1974438792333021,,166,0.5069974021822212,,
T1_2020_with_gdp,secularism_clean_inst_norm,NEW: institutional only,-0.061187051895380255,0.039758205274630774,0.12380936841937897,,164,0.45442855997827514,,
T1_2014_with_gdp,secularism_clean_beh_norm,NEW: behavioural only,-0.1311945750334663,0.047927842096141766,0.006193912244300839,***,79,0.6073796686667686,,
T1_2020_with_gdp,secularism_clean_beh_norm,NEW: behavioural only,-0.1727644386837174,0.0458784580180645,0.0001660841396035384,***,94,0.5513256239894568,,
T1_2014_with_gdp,secularism_clean_real_norm,"NEW: clean, no WVS interp",-0.04752525565546456,0.035155785049999735,0.17642414596044675,,166,0.5075122059863891,,
T1_2020_with_gdp,secularism_clean_real_norm,"NEW: clean, no WVS interp",-0.04833002267711865,0.03840082788925268,0.20818669822756042,,164,0.4505845306434699,,
T1_2014_with_gdp,composite_secularism_norm,OLD: 11-input headline,-0.19388202638144586,0.04601251426828912,2.5124281411885187e-05,***,166,0.5500262419186601,,
T1_2020_with_gdp,composite_secularism_norm,OLD: 11-input headline,-0.22621733811446917,0.05524212550903662,4.2214087370864313e-05,***,164,0.5091433900116114,,
T1_2014_with_gdp,composite_secularism_pca_norm,OLD: PCA variant,-0.2108571448392121,0.043123153908488726,1.010152410296956e-06,***,166,0.5702155078186371,,
T1_2020_with_gdp,composite_secularism_pca_norm,OLD: PCA variant,-0.22526740503454767,0.04620387136201803,1.0852807691238365e-06,***,164,0.5328485380171515,,
T1_2014_with_gdp,gri_state_religion_norm,SUB: state religion (structural),-0.08595979950501283,0.02779464469643352,0.0019836131937037865,***,166,0.5242686201066588,,
T1_2020_with_gdp,gri_state_religion_norm,SUB: state religion (structural),-0.10542496101624008,0.03026051055976453,0.0004941416164842512,***,164,0.48184156839970427,,
T1_2014_with_gdp,gri_religious_law_norm,SUB: religious law (structural),-0.013070770870111196,0.028470718385219595,0.6461657853221724,,166,0.5028466759860902,,
T1_2020_with_gdp,gri_religious_law_norm,SUB: religious law (structural),-0.033255618494308345,0.04098079786824488,0.4170827808139098,,164,0.44727327624718904,,
T1_2014_with_gdp,gri_religious_courts_norm,SUB: religious courts (structural),0.020463203899867742,0.02939415007648537,0.4863249624358007,,166,0.5039456961025077,,
T1_2020_with_gdp,gri_religious_courts_norm,SUB: religious courts (structural),0.015999226401775493,0.02587018711565445,0.5362836081322223,,164,0.44603720129761437,,
T1_2014_with_gdp,gri_apostasy_norm,SUB: apostasy law (treatment),-0.15273140285627998,0.026404003941879587,7.277024502698641e-09,***,166,0.6072969506292549,,
T1_2020_with_gdp,gri_apostasy_norm,SUB: apostasy law (treatment),-0.14355655355458485,0.032072041875112686,7.603124095904785e-06,***,164,0.5411280750388692,,
T1_2014_with_gdp,gri_blasphemy_norm,SUB: blasphemy law (treatment),-0.09137756429109484,0.01781794378612856,2.9221318611110786e-07,***,166,0.5720903125283986,,
T1_2020_with_gdp,gri_blasphemy_norm,SUB: blasphemy law (treatment),-0.06445219559744704,0.01569335346689192,4.008762301523739e-05,***,164,0.4997597179128582,,
T1_2014_with_gdp,gri_gov_favour_norm,SUB: gov favouritism (borderline),-0.05788534332310784,0.025847759296816004,0.025125195753707898,**,166,0.5150194893712409,,
T1_2020_with_gdp,gri_gov_favour_norm,SUB: gov favouritism (borderline),-0.08959614432946958,0.028474893730940202,0.0016523942040200025,***,164,0.4734504791875418,,
T1_2014_with_gdp,gri_composite_flipped,SUB: Pew GRI composite (treatment),0.04275165460573311,0.03732913004282058,0.25210041499374747,,166,0.5057257721924753,,
T1_2020_with_gdp,gri_composite_flipped,SUB: Pew GRI composite (treatment),-0.08313361244730101,0.04457642817618465,0.06218588867907143,*,164,0.459085018945405,,
T1_2014_with_gdp,shi_composite_flipped,SUB: Pew SHI composite (treatment),-0.03494113885441165,0.030910305025722274,0.258305942040127,,166,0.5062557070309288,,
T1_2020_with_gdp,shi_composite_flipped,SUB: Pew SHI composite (treatment),-0.013822322963305766,0.03361160780649932,0.6808990609571794,,164,0.44518712337669775,,
T1_2014_with_gdp,v2clrelig_norm,SUB: V-Dem religious freedom,0.12760804981863805,0.048468658979818696,0.008468540954361307,***,166,0.5216907635788747,,
T1_2020_with_gdp,v2clrelig_norm,SUB: V-Dem religious freedom,0.16117128401454967,0.05374580099021686,0.0027107204707784065,***,164,0.47812181613178983,,
T1_2014_with_gdp,wvs_imprel_norm,SUB: importance of religion (WVS),-0.20555944688316485,0.044182975582074895,3.280012476374258e-06,***,89,0.6488984733183187,,
T1_2020_with_gdp,wvs_imprel_norm,SUB: importance of religion (WVS),-0.22886391596213784,0.045749670201117365,5.658393942374507e-07,***,100,0.6074333043899176,,
T2_with_gdp,secularism_clean_norm,NEW: clean composite (inst+beh),0.02373503935638205,0.014025781213721498,0.09081173355006755,*,1648,,0.012349124407573964,166.0
T2_with_gdp,secularism_clean_inst_norm,NEW: institutional only,0.0038792875415994857,0.010221564458738248,0.7043566911391146,,1648,,0.011125558580933004,166.0
T2_with_gdp,secularism_clean_beh_norm,NEW: behavioural only,-0.15061771933724843,0.08464285029248371,0.07556451526711938,*,870,,0.06087309610327174,94.0
T2_with_gdp,secularism_clean_real_norm,"NEW: clean, no WVS interp",0.0014114640897265039,0.008591001870001507,0.8695210370947688,,1648,,0.010934674493037422,166.0
T2_with_gdp,composite_secularism_norm,OLD: 11-input headline,0.06147111626155723,0.03406087184239042,0.07131977801659994,*,1648,,0.02273196284879897,166.0
T2_with_gdp,composite_secularism_pca_norm,OLD: PCA variant,0.015374877863895726,0.02542155532396792,0.5454074219212455,,1648,,0.013523932434132968,166.0
T2_with_gdp,gri_state_religion_norm,SUB: state religion (structural),0.015308444035062522,0.015710579455726254,0.3300167509809353,,1648,,0.012668692787660363,166.0
T2_with_gdp,gri_religious_law_norm,SUB: religious law (structural),0.008130652955825985,0.00692141635719189,0.24030150290437602,,1648,,0.010239572779458417,166.0
T2_with_gdp,gri_religious_courts_norm,SUB: religious courts (structural),-0.008034356582412642,0.0070661055805902005,0.2557123363239664,,1648,,0.010659695712825767,166.0
T2_with_gdp,gri_apostasy_norm,SUB: apostasy law (treatment),-0.021973931094926433,0.010457606750911336,0.035790095853206694,**,1648,,0.02473908237053879,166.0
T2_with_gdp,gri_blasphemy_norm,SUB: blasphemy law (treatment),-0.0005768140661545198,0.00360035612757707,0.8727374725257557,,1648,,0.009459783473741878,166.0
T2_with_gdp,gri_gov_favour_norm,SUB: gov favouritism (borderline),0.0180449541288085,0.010052853209790004,0.07285803117719603,*,1648,,0.026754223552845402,166.0
T2_with_gdp,gri_composite_flipped,SUB: Pew GRI composite (treatment),-0.002136563072333604,0.018259617247605775,0.9068679065213574,,1648,,0.009633090582831794,166.0
T2_with_gdp,shi_composite_flipped,SUB: Pew SHI composite (treatment),0.009479445962864078,0.012597506682818737,0.4518795558066877,,1648,,0.009748221988555295,166.0
T2_with_gdp,v2clrelig_norm,SUB: V-Dem religious freedom,-0.03662129638866086,0.02850181997527566,0.1990384119369193,,1648,,0.014819504136970751,166.0
T2_with_gdp,wvs_imprel_norm,SUB: importance of religion (WVS),-0.02258218650852919,0.07346650560054122,0.7586302571567161,,950,,-0.0023193386892459422,101.0
T4_mundlak_within,secularism_clean_norm,NEW: clean composite (inst+beh),0.023736165895278667,,0.07490303442501345,*,1648,,,166.0
T4_mundlak_between,secularism_clean_norm,NEW: clean composite (inst+beh),-0.11910738877841524,,0.004301083193256172,***,1648,,,166.0
T4_mundlak_within,secularism_clean_inst_norm,NEW: institutional only,0.003879594654793083,,0.6894305061678243,,1648,,,166.0
T4_mundlak_between,secularism_clean_inst_norm,NEW: institutional only,-0.05482763131179956,,0.16546213778052454,,1648,,,166.0
T4_mundlak_within,secularism_clean_beh_norm,NEW: behavioural only,-0.1506980766542528,,0.06034850461275165,*,870,,,94.0
T4_mundlak_between,secularism_clean_beh_norm,NEW: behavioural only,-0.005667438383447694,,0.9490831699349891,,870,,,94.0
T4_mundlak_within,secularism_clean_real_norm,"NEW: clean, no WVS interp",0.0014112488696594243,,0.8626808931182137,,1648,,,166.0
T4_mundlak_between,secularism_clean_real_norm,"NEW: clean, no WVS interp",-0.058526499889236513,,0.1419351076321329,,1648,,,166.0
T4_mundlak_within,composite_secularism_norm,OLD: 11-input headline,0.06144991547358809,,0.057623366152879996,*,1648,,,166.0
T4_mundlak_between,composite_secularism_norm,OLD: 11-input headline,-0.27767989482571287,,2.6800138088756142e-06,***,1648,,,166.0
T4_mundlak_within,composite_secularism_pca_norm,OLD: PCA variant,0.015355842501850877,,0.5247829756475935,,1648,,,166.0
T4_mundlak_between,composite_secularism_pca_norm,OLD: PCA variant,-0.24307756175705814,,4.2976981484699195e-07,***,1648,,,166.0
